timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251028T142557.00-0300,-29.206241,-50.896799,0.35,9,847.50,1.14
20251028T142558.00-0300,-29.206250,-50.896777,0.67,10,841.30,0.92
20251028T142559.00-0300,-29.206241,-50.896764,0.63,10,836.60,0.92
20251028T142600.00-0300,-29.206253,-50.896751,0.22,12,833.60,0.79
20251028T142601.00-0300,-29.206268,-50.896741,0.24,12,832.00,0.79
20251028T142602.00-0300,-29.206281,-50.896732,0.00,12,830.50,0.76
20251028T142603.00-0300,-29.206291,-50.896726,0.15,12,829.70,0.76
20251028T142604.00-0300,-29.206301,-50.896722,0.31,12,829.20,0.76
20251028T142605.00-0300,-29.206311,-50.896721,0.13,12,829.10,0.76
20251028T142606.00-0300,-29.206322,-50.896720,0.09,12,829.40,0.76
20251028T142624.00-0300,-29.206234,-50.896651,3.26,7,877.20,1.46
20251028T142626.00-0300,-29.206408,-50.896634,1.98,10,860.80,0.95
20251028T142627.00-0300,-29.206425,-50.896648,0.48,10,851.20,0.95
20251028T142628.00-0300,-29.206436,-50.896648,0.81,10,846.90,0.95
20251028T142629.00-0300,-29.206472,-50.896637,0.41,10,841.30,0.95
20251028T142630.00-0300,-29.206520,-50.896617,0.89,11,836.50,0.87
20251028T142631.00-0300,-29.206557,-50.896603,1.22,11,832.20,0.87
20251028T142632.00-0300,-29.206593,-50.896588,0.98,11,828.20,0.87
20251028T142633.00-0300,-29.206613,-50.896582,0.43,12,825.10,0.82
20251028T142634.00-0300,-29.206628,-50.896578,0.26,12,822.50,0.82
20251028T142635.00-0300,-29.206646,-50.896572,0.06,12,820.50,0.82
20251028T142636.00-0300,-29.206658,-50.896569,0.07,12,818.70,0.82
20251028T142637.00-0300,-29.206666,-50.896567,0.02,12,817.40,0.82
20251028T142638.00-0300,-29.206673,-50.896565,0.52,12,816.20,0.82
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251028T150400.00-0300,-29.206470,-50.896810,5.67,5,808.80,1.25
20251028T150401.00-0300,-29.206496,-50.896777,2.06,6,803.10,1.06
20251028T150402.00-0300,-29.206486,-50.896763,0.89,7,797.20,1.02
20251028T150403.00-0300,-29.206478,-50.896766,1.22,8,803.10,0.98
20251028T150404.00-0300,-29.206474,-50.896769,1.04,9,805.20,0.93
20251028T150405.00-0300,-29.206469,-50.896764,0.93,9,805.30,0.93
20251028T150406.00-0300,-29.206468,-50.896762,0.80,11,805.60,0.98
20251028T150407.00-0300,-29.206463,-50.896758,0.67,12,801.30,0.95
20251028T150408.00-0300,-29.206459,-50.896755,0.50,12,798.20,0.95
20251028T150409.00-0300,-29.206456,-50.896752,0.46,12,797.00,0.95
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251028T150410.00-0300,-29.206453,-50.896753,0.41,12,797.00,0.95
20251028T150411.00-0300,-29.206448,-50.896754,0.93,12,796.90,0.82
20251028T150412.00-0300,-29.206444,-50.896755,0.37,12,797.90,0.82
20251028T150413.00-0300,-29.206443,-50.896754,0.24,12,798.40,0.82
20251028T150414.00-0300,-29.206442,-50.896751,0.43,12,798.20,0.82
20251030T084116.00-0300,-29.206772,-50.896549,1.74,5,795.40,1.95
20251030T084117.00-0300,-29.206766,-50.896558,0.20,5,796.70,1.95
20251030T084118.00-0300,-29.206764,-50.896564,0.19,5,798.20,1.95
20251030T084119.00-0300,-29.206760,-50.896571,0.15,5,799.50,1.95
20251030T084120.00-0300,-29.206758,-50.896575,0.26,5,801.30,1.95
20251030T084121.00-0300,-29.206759,-50.896575,0.07,5,801.30,1.95
20251030T084122.00-0300,-29.206758,-50.896577,0.13,5,801.50,1.95
20251030T084123.00-0300,-29.206760,-50.896576,0.13,5,801.30,1.95
