timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251028T141023.00-0300,-29.206447,-50.896804,1.04,8,850.60,1.01
20251028T141024.00-0300,-29.206447,-50.896804,0.09,8,850.40,1.01
20251028T141025.00-0300,-29.206447,-50.896805,0.19,8,850.70,1.01
20251028T141026.00-0300,-29.206448,-50.896804,0.09,9,850.80,0.89
20251028T141027.00-0300,-29.206448,-50.896804,0.06,9,850.70,0.89
20251028T141028.00-0300,-29.206449,-50.896804,0.04,9,850.70,0.89
20251028T141029.00-0300,-29.206449,-50.896805,0.06,9,850.70,0.89
20251028T141030.00-0300,-29.206449,-50.896805,0.06,9,850.80,0.89
20251028T141031.00-0300,-29.206449,-50.896807,0.02,10,851.00,0.86
20251028T141032.00-0300,-29.206449,-50.896810,0.02,10,851.20,0.86
20251028T141033.00-0300,-29.206449,-50.896811,0.06,10,851.30,0.86
20251028T141034.00-0300,-29.206449,-50.896813,0.02,10,851.40,0.86
20251028T141035.00-0300,-29.206449,-50.896815,0.07,10,851.60,0.86
20251028T141036.00-0300,-29.206449,-50.896816,0.02,10,851.70,0.86
20251028T141037.00-0300,-29.206450,-50.896817,0.04,10,851.90,0.86
20251028T141038.00-0300,-29.206449,-50.896819,0.02,10,852.00,0.86
20251028T141039.00-0300,-29.206449,-50.896819,0.04,10,852.10,0.86
20251028T141040.00-0300,-29.206449,-50.896821,0.04,10,852.10,0.86
20251028T141041.00-0300,-29.206449,-50.896822,0.02,10,852.20,0.86
20251028T141042.00-0300,-29.206449,-50.896823,0.06,10,852.30,0.86
20251028T141043.00-0300,-29.206449,-50.896824,0.04,10,852.40,0.86
20251028T141044.00-0300,-29.206448,-50.896825,0.04,10,852.60,0.86
20251028T141045.00-0300,-29.206447,-50.896826,0.06,10,852.50,0.86
20251028T141046.00-0300,-29.206447,-50.896827,0.06,10,852.60,0.86
20251028T141047.00-0300,-29.206446,-50.896828,0.02,10,852.70,0.86
20251028T141048.00-0300,-29.206446,-50.896828,0.02,10,852.60,0.86
20251028T141049.00-0300,-29.206446,-50.896829,0.00,10,852.70,0.86
20251028T141050.00-0300,-29.206446,-50.896830,0.02,10,852.80,0.86
20251028T141051.00-0300,-29.206446,-50.896831,0.02,10,852.80,0.86
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251028T141052.00-0300,-29.206445,-50.896831,0.07,10,852.90,0.86
20251028T141053.00-0300,-29.206445,-50.896831,0.09,10,852.90,0.86
20251028T141054.00-0300,-29.206445,-50.896831,0.02,10,852.80,0.86
20251028T141055.00-0300,-29.206444,-50.896832,0.02,11,852.90,0.83
20251028T141056.00-0300,-29.206443,-50.896832,0.15,11,852.90,0.83
20251028T141057.00-0300,-29.206443,-50.896832,0.06,11,852.90,0.83
20251028T141058.00-0300,-29.206443,-50.896832,0.04,11,852.90,0.83
20251028T141059.00-0300,-29.206443,-50.896832,0.04,11,852.90,0.83
20251028T141100.00-0300,-29.206443,-50.896832,0.06,11,852.90,0.83
20251028T141102.00-0300,-29.206442,-50.896832,0.15,11,852.90,0.83
20251028T141103.00-0300,-29.206442,-50.896833,0.07,11,853.00,0.83
20251028T141104.00-0300,-29.206441,-50.896833,0.02,11,853.10,0.83
20251028T141105.00-0300,-29.206441,-50.896833,0.11,11,853.20,0.83
20251028T141106.00-0300,-29.206440,-50.896833,0.00,11,853.20,0.83
20251028T141107.00-0300,-29.206440,-50.896833,0.11,11,853.50,0.83
20251028T141108.00-0300,-29.206439,-50.896833,0.07,11,853.60,0.83
20251028T141109.00-0300,-29.206439,-50.896834,0.09,12,853.60,0.81
20251028T141110.00-0300,-29.206439,-50.896834,0.04,12,853.70,0.81
20251028T141111.00-0300,-29.206439,-50.896834,0.02,12,853.80,0.81
