timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251031T075857.00-0300,-29.216981,-50.897690,3.76,6,752.70,1.65
20251031T075858.00-0300,-29.216967,-50.897684,1.56,5,757.60,1.74
20251031T075859.00-0300,-29.216964,-50.897676,3.98,6,763.80,1.65
20251031T075900.00-0300,-29.216942,-50.897675,2.48,6,767.40,1.65
20251031T075901.00-0300,-29.216939,-50.897676,1.26,6,769.20,1.65
20251031T075902.00-0300,-29.216942,-50.897666,4.00,6,769.80,1.65
20251031T075903.00-0300,-29.216952,-50.897656,5.33,6,771.80,1.65
20251031T075905.00-0300,-29.216970,-50.897632,4.46,6,772.10,1.65
20251031T075906.00-0300,-29.216972,-50.897621,5.50,6,773.10,1.65
20251031T075907.00-0300,-29.216972,-50.897608,4.48,6,774.00,1.66
20251031T075908.00-0300,-29.216974,-50.897599,4.70,6,773.90,1.66
20251031T075909.00-0300,-29.216970,-50.897585,5.00,6,775.60,1.66
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251031T084803.00-0300,-29.224386,-50.889530,0.07,7,727.50,1.30
20251031T084804.00-0300,-29.224449,-50.889545,0.07,9,725.80,1.10
20251031T084805.00-0300,-29.224450,-50.889550,0.11,9,726.20,1.10
20251031T084806.00-0300,-29.224448,-50.889549,0.26,9,726.70,1.10
20251031T084807.00-0300,-29.224450,-50.889555,0.09,9,725.60,1.10
20251031T084808.00-0300,-29.224455,-50.889562,0.11,9,724.60,1.10
20251031T084809.00-0300,-29.224456,-50.889566,0.02,9,724.20,1.10
20251031T084810.00-0300,-29.224456,-50.889567,0.11,9,724.00,1.10
20251031T084811.00-0300,-29.224454,-50.889567,0.07,11,723.60,0.95
20251031T084812.00-0300,-29.224453,-50.889566,0.07,11,722.70,0.95
20251031T084813.00-0300,-29.224451,-50.889565,0.19,11,722.80,0.98
20251031T084814.00-0300,-29.224453,-50.889569,0.02,11,722.00,1.01
20251031T084815.00-0300,-29.224455,-50.889570,0.04,11,721.30,1.01
20251031T084817.00-0300,-29.224458,-50.889572,0.13,11,720.80,1.01
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251031T115938.00-0300,-29.224322,-50.889419,0.39,12,726.20,0.67
20251031T115939.00-0300,-29.224315,-50.889405,0.13,12,721.40,0.63
20251031T115940.00-0300,-29.224343,-50.889414,0.13,12,716.00,0.60
20251031T115941.00-0300,-29.224349,-50.889416,0.02,12,712.50,0.60
20251031T115942.00-0300,-29.224355,-50.889420,0.02,12,710.80,0.60
20251031T115943.00-0300,-29.224357,-50.889423,0.02,12,710.70,0.60
20251031T115944.00-0300,-29.224359,-50.889426,0.17,12,711.80,0.60
20251031T115945.00-0300,-29.224362,-50.889428,0.02,12,713.70,0.60
20251031T115946.00-0300,-29.224364,-50.889429,0.07,12,714.00,0.60
20251031T115947.00-0300,-29.224366,-50.889430,0.20,12,713.80,0.60
20251031T115948.00-0300,-29.224366,-50.889433,0.07,12,713.90,0.60
20251031T115949.00-0300,-29.224367,-50.889435,0.07,12,714.00,0.60
20251031T115951.00-0300,-29.224370,-50.889442,0.04,12,714.90,0.58
20251031T115952.00-0300,-29.224373,-50.889446,0.02,12,716.60,0.63
20251031T115953.00-0300,-29.224375,-50.889448,0.04,12,717.30,0.58
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251031T135948.00-0300,-29.224459,-50.889481,4.48,10,742.20,1.06
20251031T135949.00-0300,-29.224397,-50.889460,0.98,10,753.70,0.94
20251031T135950.00-0300,-29.224404,-50.889466,0.44,10,756.50,0.94
20251031T135951.00-0300,-29.224426,-50.889483,0.17,12,747.20,0.91
20251031T135952.00-0300,-29.224434,-50.889488,0.17,12,745.20,1.02
20251031T135953.00-0300,-29.224446,-50.889490,0.09,12,740.20,1.00
20251031T135954.00-0300,-29.224451,-50.889489,0.09,12,738.50,1.00
20251031T135955.00-0300,-29.224448,-50.889486,0.15,12,737.80,0.99
20251031T135956.00-0300,-29.224447,-50.889484,0.06,12,738.40,0.99
20251031T135957.00-0300,-29.224447,-50.889482,0.06,12,738.80,0.99
20251031T135958.00-0300,-29.224445,-50.889478,0.02,12,740.20,0.99
20251031T144112.00-0300,-29.224359,-50.889269,2.00,3,nan,3.57
20251031T144113.00-0300,-29.224536,-50.889296,1.00,11,710.30,0.96
20251031T144114.00-0300,-29.224546,-50.889332,0.13,11,713.80,0.84
20251031T144115.00-0300,-29.224549,-50.889349,0.00,12,710.70,0.81
20251031T144116.00-0300,-29.224542,-50.889357,0.26,12,708.20,0.81
20251031T144117.00-0300,-29.224543,-50.889367,1.07,12,706.80,0.86
20251031T144118.00-0300,-29.224546,-50.889373,1.81,12,703.40,0.82
20251031T144119.00-0300,-29.224547,-50.889397,3.65,11,701.80,0.88
20251031T144119.98-0300,-29.224544,-50.889410,1.33,3,704.30,4.21
20251031T144120.98-0300,-29.224529,-50.889411,0.26,12,707.00,0.78
20251031T144122.00-0300,-29.224516,-50.889409,0.44,12,708.70,0.78
20251031T144123.00-0300,-29.224509,-50.889412,0.28,12,710.90,0.74
20251031T144124.00-0300,-29.224504,-50.889417,0.22,12,712.20,0.74
20251031T144125.00-0300,-29.224501,-50.889421,0.11,12,712.90,0.74
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
