timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T100952.00-0300,-29.217121,-50.897295,1.31,8,785.40,2.16
20251030T100953.00-0300,-29.217082,-50.897271,0.74,8,789.10,2.47
20251030T100955.00-0300,-29.217018,-50.897220,1.20,8,793.20,2.47
20251030T100956.00-0300,-29.216958,-50.897194,0.28,9,797.10,1.59
20251030T100957.00-0300,-29.216952,-50.897189,0.56,10,801.00,1.10
20251030T100958.00-0300,-29.216955,-50.897178,0.74,11,801.60,1.08
20251030T100959.00-0300,-29.216959,-50.897184,0.31,12,803.20,1.86
20251030T101000.00-0300,-29.216967,-50.897176,1.57,12,803.90,0.95
20251030T101001.00-0300,-29.216971,-50.897172,0.33,12,804.10,1.07
20251030T101002.00-0300,-29.216971,-50.897170,0.39,12,804.30,1.07
20251030T101003.00-0300,-29.216970,-50.897171,0.94,12,805.30,0.95
20251030T101004.00-0300,-29.216972,-50.897173,0.96,12,806.50,0.95
20251030T101005.00-0300,-29.216972,-50.897178,1.61,12,807.40,0.95
20251030T101006.00-0300,-29.216974,-50.897183,0.35,12,807.70,0.97
20251030T101007.00-0300,-29.216975,-50.897188,0.67,12,807.80,0.97
20251030T101008.00-0300,-29.216977,-50.897191,0.96,12,807.70,0.97
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T113455.00-0300,-29.216979,-50.897164,4.69,5,787.00,1.19
20251030T113456.00-0300,-29.217019,-50.897223,7.02,5,785.70,1.19
20251030T113457.00-0300,-29.217041,-50.897292,3.46,5,782.00,1.19
20251030T113459.00-0300,-29.217031,-50.897286,2.83,6,781.80,1.13
20251030T113500.00-0300,-29.217022,-50.897286,3.02,6,781.30,1.13
20251030T113501.00-0300,-29.217026,-50.897299,3.33,6,782.30,1.13
20251030T113502.00-0300,-29.217032,-50.897311,1.72,6,782.70,1.13
20251030T113503.00-0300,-29.217037,-50.897319,0.17,6,783.40,1.13
20251030T113504.00-0300,-29.217043,-50.897323,0.44,6,784.10,1.13
20251030T113505.00-0300,-29.217045,-50.897318,2.56,6,784.60,1.13
20251030T113506.00-0300,-29.217044,-50.897307,3.41,6,785.20,1.13
20251030T113507.00-0300,-29.217040,-50.897298,1.80,5,786.80,1.19
20251030T113508.00-0300,-29.217035,-50.897285,4.82,5,788.60,1.19
20251030T113509.00-0300,-29.217048,-50.897291,5.13,6,790.00,1.13
20251030T144359.00-0300,-29.224385,-50.889661,0.28,7,731.90,1.30
20251030T144400.00-0300,-29.224374,-50.889664,0.35,12,723.40,0.74
20251030T144401.00-0300,-29.224386,-50.889669,0.13,12,723.50,0.74
20251030T144402.00-0300,-29.224389,-50.889668,0.11,12,721.70,0.80
20251030T144403.00-0300,-29.224390,-50.889664,0.13,12,721.20,0.74
20251030T144404.00-0300,-29.224395,-50.889663,0.13,12,721.00,0.74
20251030T144405.00-0300,-29.224394,-50.889662,0.13,12,721.30,0.74
20251030T144406.00-0300,-29.224398,-50.889658,0.57,12,721.70,0.74
20251030T144407.00-0300,-29.224405,-50.889648,3.70,12,721.50,0.74
20251030T144408.00-0300,-29.224408,-50.889638,4.28,12,721.50,0.74
20251030T144409.00-0300,-29.224410,-50.889625,5.02,12,721.10,0.74
20251030T144410.00-0300,-29.224410,-50.889608,5.52,12,721.20,0.74
20251030T144411.00-0300,-29.224409,-50.889590,6.57,12,721.00,0.74
20251030T144412.00-0300,-29.224410,-50.889571,6.39,12,720.80,0.74
20251030T144413.00-0300,-29.224410,-50.889550,6.98,12,720.80,0.74
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T163001.00-0300,-29.217061,-50.897142,2.07,5,nan,2.39
20251030T163002.00-0300,-29.217049,-50.897138,1.43,6,753.40,2.25
20251030T163003.00-0300,-29.217037,-50.897128,2.28,6,756.20,2.25
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251031T070844.00-0300,-29.216916,-50.897690,3.43,6,795.90,1.19
20251031T070845.00-0300,-29.216925,-50.897690,3.78,5,795.90,1.27
20251031T070846.00-0300,-29.216934,-50.897690,3.74,6,795.80,1.19
20251031T070848.00-0300,-29.216951,-50.897688,3.24,6,795.60,1.19
20251031T070849.00-0300,-29.216958,-50.897689,3.17,6,795.20,1.19
20251031T070850.00-0300,-29.216962,-50.897690,0.80,6,794.60,1.19
20251031T070851.00-0300,-29.216964,-50.897691,0.11,6,794.20,1.19
20251031T070852.00-0300,-29.216965,-50.897690,0.26,6,793.50,1.19
20251031T070853.00-0300,-29.216967,-50.897689,0.24,6,792.90,1.19
20251031T070854.00-0300,-29.216969,-50.897687,0.13,6,791.70,1.19
