timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251024T154608.00-0300,-29.246176,-50.921454,0.69,4,nan,4.78
20251024T154609.00-0300,-29.246175,-50.921519,0.13,7,786.40,1.39
20251024T154610.00-0300,-29.246185,-50.921512,0.35,8,787.60,1.37
20251024T154611.00-0300,-29.246173,-50.921524,0.72,8,786.80,1.37
20251024T154612.00-0300,-29.246172,-50.921517,0.44,8,787.20,1.37
20251024T154613.00-0300,-29.246176,-50.921509,0.44,8,787.10,1.37
20251024T154614.00-0300,-29.246172,-50.921513,0.56,8,786.80,1.37
20251024T154615.00-0300,-29.246170,-50.921514,0.28,8,786.60,1.37
20251024T154616.00-0300,-29.246170,-50.921514,0.13,8,786.40,1.37
20251024T154617.00-0300,-29.246170,-50.921514,0.15,8,786.40,1.37
20251024T154618.00-0300,-29.246172,-50.921514,0.04,8,786.60,1.37
20251024T154619.00-0300,-29.246173,-50.921513,0.02,8,786.90,1.37
20251024T154620.00-0300,-29.246175,-50.921512,0.02,8,787.30,1.37
20251024T154621.00-0300,-29.246177,-50.921511,0.13,8,787.70,1.37
20251024T154622.00-0300,-29.246179,-50.921510,0.04,8,788.40,1.38
20251024T154623.00-0300,-29.246180,-50.921509,0.04,8,789.00,1.38
20251024T154624.00-0300,-29.246181,-50.921508,0.06,8,789.70,1.38
20251024T154625.00-0300,-29.246182,-50.921507,0.17,8,790.40,1.38
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251025T064415.00-0300,-29.246707,-50.921767,0.37,7,781.50,1.41
20251025T064416.00-0300,-29.246709,-50.921766,0.26,7,781.20,1.41
20251025T064417.00-0300,-29.246713,-50.921769,2.78,7,781.10,1.41
20251025T064418.00-0300,-29.246716,-50.921773,1.61,7,781.20,1.41
20251025T064419.00-0300,-29.246721,-50.921774,0.07,7,779.70,1.41
20251025T064420.00-0300,-29.246722,-50.921777,1.50,7,779.20,1.41
20251025T064421.00-0300,-29.246722,-50.921780,2.00,7,780.10,1.41
20251025T064422.00-0300,-29.246718,-50.921783,0.19,7,781.40,1.41
20251025T064423.00-0300,-29.246717,-50.921784,0.20,7,781.70,1.41
20251025T064424.00-0300,-29.246718,-50.921790,3.04,7,781.60,1.41
20251025T064425.00-0300,-29.246715,-50.921794,0.28,7,782.20,1.41
20251025T064426.00-0300,-29.246714,-50.921792,0.11,7,782.60,1.41
20251025T064427.00-0300,-29.246715,-50.921792,0.33,7,782.80,1.41
20251025T064428.00-0300,-29.246716,-50.921792,0.81,7,783.30,1.41
20251025T064429.00-0300,-29.246717,-50.921792,0.37,7,783.90,1.41
20251025T064430.00-0300,-29.246719,-50.921793,1.04,7,784.00,1.41
20251025T064431.00-0300,-29.246721,-50.921797,2.41,7,784.10,1.41
20251025T064432.00-0300,-29.246724,-50.921804,2.78,7,784.20,1.40
20251025T064433.00-0300,-29.246726,-50.921806,0.44,7,784.30,1.40
20251025T064434.00-0300,-29.246726,-50.921808,1.50,7,784.40,1.40
20251025T064435.00-0300,-29.246727,-50.921809,0.15,7,784.50,1.40
20251025T064436.00-0300,-29.246727,-50.921810,0.13,7,784.60,1.40
20251025T064437.00-0300,-29.246728,-50.921808,0.17,7,784.50,1.40
