timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251025T065042.00-0300,-29.246695,-50.921756,0.85,7,782.20,1.36
20251025T065043.00-0300,-29.246727,-50.921785,0.13,7,788.80,1.36
20251025T065044.00-0300,-29.246729,-50.921779,0.20,7,785.80,1.36
20251025T065045.00-0300,-29.246731,-50.921786,1.52,7,781.80,1.36
20251025T065046.00-0300,-29.246731,-50.921770,6.28,7,777.80,1.36
20251025T065047.00-0300,-29.246722,-50.921762,6.72,7,777.70,1.36
20251025T065048.00-0300,-29.246708,-50.921763,5.06,7,777.50,1.36
20251025T065049.00-0300,-29.246701,-50.921753,3.59,7,777.60,1.36
20251025T065050.00-0300,-29.246692,-50.921743,6.22,7,777.70,1.36
20251025T065051.00-0300,-29.246680,-50.921725,8.35,7,777.80,1.36
20251025T065052.00-0300,-29.246665,-50.921704,10.28,7,778.00,1.36
20251025T065053.00-0300,-29.246650,-50.921683,8.74,7,777.30,1.36
20251025T065054.00-0300,-29.246635,-50.921668,7.95,7,777.00,1.36
20251025T065055.00-0300,-29.246620,-50.921654,7.52,7,777.10,1.36
20251025T065056.00-0300,-29.246596,-50.921650,10.45,7,777.10,1.36
20251025T065057.00-0300,-29.246572,-50.921646,10.11,7,777.10,1.36
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251025T065058.00-0300,-29.246546,-50.921641,9.87,7,778.50,1.36
20251025T075954.00-0300,-29.246971,-50.918490,0.67,12,788.30,0.73
20251025T075955.00-0300,-29.246925,-50.918442,0.76,12,787.60,0.73
20251025T075956.00-0300,-29.246916,-50.918428,0.11,12,787.00,0.72
20251025T075957.00-0300,-29.246919,-50.918426,0.15,12,786.00,0.72
20251025T075959.00-0300,-29.246922,-50.918424,0.19,12,785.80,0.72
20251025T080000.00-0300,-29.246923,-50.918422,0.11,12,786.00,0.70
20251025T080001.00-0300,-29.246923,-50.918419,0.06,12,786.40,0.70
20251025T080002.00-0300,-29.246924,-50.918418,0.07,12,786.70,0.70
20251025T080003.00-0300,-29.246924,-50.918417,0.04,12,787.00,0.70
20251025T080004.00-0300,-29.246925,-50.918417,0.04,12,787.20,0.72
20251025T080005.00-0300,-29.246926,-50.918416,0.06,12,787.30,0.70
20251025T084007.00-0300,-29.247203,-50.919345,0.09,9,nan,1.18
20251025T084008.00-0300,-29.247206,-50.919349,0.07,11,793.90,0.94
20251025T084009.00-0300,-29.247214,-50.919344,0.20,12,791.80,0.80
20251025T084010.00-0300,-29.247211,-50.919343,0.33,12,788.60,0.80
20251025T084011.00-0300,-29.247212,-50.919340,0.39,12,786.80,0.80
20251025T084012.00-0300,-29.247215,-50.919339,0.20,12,786.70,0.77
20251025T084013.00-0300,-29.247214,-50.919341,0.44,12,787.10,0.77
20251025T084014.00-0300,-29.247213,-50.919341,0.00,12,787.00,0.77
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251025T084015.00-0300,-29.247212,-50.919341,0.04,12,787.00,0.77
20251025T084016.00-0300,-29.247212,-50.919339,1.22,12,786.70,0.77
20251025T084017.00-0300,-29.247220,-50.919338,4.74,12,786.50,0.77
20251025T084018.00-0300,-29.247233,-50.919337,5.00,12,786.50,0.77
20251025T084019.00-0300,-29.247244,-50.919336,4.70,12,786.10,0.77
20251025T085239.00-0300,-29.245797,-50.921555,0.04,10,786.40,1.14
20251025T085240.00-0300,-29.245803,-50.921533,0.06,11,783.20,0.96
20251025T085241.00-0300,-29.245813,-50.921531,0.46,12,778.20,0.94
20251025T085242.00-0300,-29.245812,-50.921517,0.07,12,776.70,0.94
20251025T085243.00-0300,-29.245811,-50.921518,0.20,12,776.60,0.94
20251025T085244.00-0300,-29.245810,-50.921519,0.11,12,777.50,0.84
20251025T085245.00-0300,-29.245809,-50.921519,0.15,12,778.00,0.84
20251025T085246.00-0300,-29.245809,-50.921519,0.17,12,778.20,0.84
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251025T085247.00-0300,-29.245809,-50.921520,0.06,12,778.70,0.84
20251025T085248.00-0300,-29.245809,-50.921521,0.04,12,778.90,0.84
20251025T085249.00-0300,-29.245810,-50.921523,0.17,12,778.70,0.84
20251025T085250.00-0300,-29.245811,-50.921523,0.02,12,778.70,0.84
20251025T085251.00-0300,-29.245812,-50.921524,0.31,12,778.80,0.84
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
