timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T072542.00-0300,-29.246715,-50.921868,0.24,9,779.70,1.04
20251030T072543.00-0300,-29.246729,-50.921823,1.17,9,787.00,1.04
20251030T072544.00-0300,-29.246729,-50.921821,0.83,9,784.30,1.04
20251030T072545.00-0300,-29.246712,-50.921829,0.63,9,780.30,1.24
20251030T072546.00-0300,-29.246687,-50.921848,0.61,9,773.50,1.24
20251030T072547.00-0300,-29.246689,-50.921839,1.09,9,775.30,1.24
20251030T072548.00-0300,-29.246689,-50.921821,4.63,9,776.90,1.24
20251030T072549.00-0300,-29.246685,-50.921799,6.50,9,777.90,1.04
20251030T072550.00-0300,-29.246679,-50.921777,7.70,9,778.60,1.04
20251030T072551.00-0300,-29.246667,-50.921762,7.85,9,778.30,1.24
20251030T072552.00-0300,-29.246656,-50.921740,8.91,9,779.40,1.04
20251030T072553.00-0300,-29.246640,-50.921719,9.22,9,779.60,1.04
20251030T072554.00-0300,-29.246619,-50.921698,10.00,9,780.40,1.04
20251030T072555.00-0300,-29.246600,-50.921683,8.83,9,780.50,1.04
20251030T072556.00-0300,-29.246577,-50.921671,9.70,9,780.60,1.04
20251030T072557.00-0300,-29.246555,-50.921671,8.59,9,780.50,1.04
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T074232.00-0300,-29.246105,-50.921503,0.96,7,775.80,1.53
20251030T074233.00-0300,-29.246123,-50.921547,0.52,7,767.60,1.53
20251030T074234.00-0300,-29.246127,-50.921565,0.81,7,762.80,1.53
20251030T074235.00-0300,-29.246133,-50.921582,0.61,7,758.50,1.53
20251030T074236.00-0300,-29.246136,-50.921577,0.93,8,762.20,1.46
20251030T074237.00-0300,-29.246141,-50.921576,0.35,8,765.30,1.46
20251030T074238.00-0300,-29.246142,-50.921585,0.26,8,766.90,1.46
20251030T074239.00-0300,-29.246145,-50.921594,0.19,8,768.40,1.46
20251030T074240.00-0300,-29.246147,-50.921599,0.07,8,769.60,1.46
20251030T074241.00-0300,-29.246150,-50.921604,0.07,8,770.30,1.46
20251030T074242.00-0300,-29.246151,-50.921606,0.09,8,770.70,1.46
20251030T074243.00-0300,-29.246152,-50.921608,0.06,8,771.60,1.46
20251030T074244.00-0300,-29.246153,-50.921610,0.07,8,772.30,1.46
20251030T074245.00-0300,-29.246155,-50.921613,0.09,8,772.80,1.46
20251030T074246.00-0300,-29.246156,-50.921615,0.00,8,773.30,1.46
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
timestamp_local,latitude,longitude,velocidade_kmh,satelites,altitude_m,hdop
20251030T091841.00-0300,-29.247324,-50.920515,0.78,8,803.90,1.39
20251030T091842.00-0300,-29.247340,-50.920515,0.09,12,797.10,0.92
20251030T091843.00-0300,-29.247352,-50.920529,0.65,12,794.20,0.73
20251030T091844.00-0300,-29.247358,-50.920542,0.54,12,794.20,0.73
20251030T091845.00-0300,-29.247353,-50.920550,0.81,12,797.30,0.73
20251030T091846.00-0300,-29.247349,-50.920548,0.96,12,797.80,0.73
20251030T091847.00-0300,-29.247351,-50.920550,4.11,12,795.10,0.77
20251030T091848.00-0300,-29.247339,-50.920544,7.48,12,794.20,0.73
20251030T091849.00-0300,-29.247325,-50.920545,6.98,12,793.40,0.73
20251030T091850.00-0300,-29.247308,-50.920550,7.61,12,793.00,0.75
20251030T091851.00-0300,-29.247292,-50.920557,6.98,12,793.00,0.73
20251030T091852.00-0300,-29.247275,-50.920564,8.04,12,792.70,0.73
